date,time,location,temperature,humidity,soil_texture,rainfall,soil_moisture
2024-06-01,08:00,Field A,25,60,Loam,0.2,0.4
2024-06-01,12:00,Field B,28,55,Clay,0.0,0.35
2024-06-01,16:00,Field C,30,58,Sand,0.5,0.28
2024-06-02,08:00,Field A,24,62,Loam,0.0,0.42
2024-06-02,12:00,Field B,27,57,Clay,0.1,0.38
2024-06-02,16:00,Field C,29,60,Sand,0.3,0.31
2024-06-03,08:00,Field A,26,61,Loam,0.1,0.39
2024-06-03,12:00,Field B,29,56,Clay,0.0,0.36
2024-06-03,16:00,Field C,31,59,Sand,0.4,0.29
2024-06-04,08:00,Field A,25,63,Loam,0.0,0.43
2024-06-04,12:00,Field B,28,58,Clay,0.2,0.37
2024-06-04,16:00,Field C,30,61,Sand,0.1,0.32
2024-06-05,08:00,Field A,27,60,Loam,0.3,0.38
2024-06-05,12:00,Field B,30,55,Clay,0.1,0.34
2024-06-05,16:00,Field C,32,58,Sand,0.0,0.27
2024-06-06,08:00,Field A,26,62,Loam,0.0,0.41
2024-06-06,12:00,Field B,29,57,Clay,0.3,0.35
2024-06-06,16:00,Field C,31,60,Sand,0.2,0.30
2024-06-07,08:00,Field A,24,64,Loam,0.1,0.44
2024-06-07,12:00,Field B,27,59,Clay,0.0,0.39
2024-06-07,16:00,Field C,29,62,Sand,0.4,0.33
2024-06-08,08:00,Field A,26,61,Loam,0.2,0.40
2024-06-08,12:00,Field B,29,56,Clay,0.1,0.36
2024-06-08,16:00,Field C,31,59,Sand,0.0,0.29
2024-06-09,08:00,Field A,28,60,Loam,0.0,0.42
2024-06-09,12:00,Field B,31,55,Clay,0.3,0.38
2024-06-09,16:00,Field C,33,58,Sand,0.1,0.31
2024-06-10,08:00,Field A,27,63,Loam,0.1,0.39
2024-06-10,12:00,Field B,30,58,Clay,0.0,0.35
2024-06-10,16:00,Field C,32,61,Sand,0.2,0.28
2024-06-11,08:00,Field A,25,62,Loam,0.4,0.37
2024-06-11,12:00,Field B,28,57,Clay,0.1,0.33
2024-06-11,16:00,Field C,30,60,Sand,0.0,0.26
2024-06-12,08:00,Field A,26,64,Loam,0.0,0.40
2024-06-12,12:00,Field B,29,59,Clay,0.2,0.36
2024-06-12,16:00,Field C,31,62,Sand,0.1,0.30
2024-06-13,08:00,Field A,27,61,Loam,0.3,0.38
2024-06-13,12:00,Field B,30,56,Clay,0.0,0.34
2024-06-13,16:00,Field C,32,59,Sand,0.2,0.27
2024-06-14,08:00,Field A,25,63,Loam,0.1,0.41
2024-06-14,12:00,Field B,28,58,Clay,0.4,0.37
2024-06-14,16:00,Field C,30,61,Sand,0.0,0.29
2024-06-15,08:00,Field A,24,62,Loam,0.2,0.43
2024-06-15,12:00,Field B,27,57,Clay,0.1,0.39
2024-06-15,16:00,Field C,29,60,Sand,0.3,0.32
2024-06-16,08:00,Field A,26,61,Loam,0.0,0.39
2024-06-16,12:00,Field B,29,56,Clay,0.1,0.35
2024-06-16,16:00,Field C,31,59,Sand,0.2,0.28
2024-06-17,08:00,Field A,28,60,Loam,0.3,0.37
2024-06-17,12:00,Field B,31,55,Clay,0.0,0.33
2024-06-17,16:00,Field C,33,58,Sand,0.1,0.26
2024-06-18,08:00,Field A,27,62,Loam,0.0,0.40
2024-06-18,12:00,Field B,30,57,Clay,0.2,0.36
2024-06-18,16:00,Field C,32,60,Sand,0.1,0.30
2024-06-19,08:00,Field A,25,64,Loam,0.1,0.42
2024-06-19,12:00,Field B,28,59,Clay,0.0,0.38
2024-06-19,16:00,Field C,30,62,Sand,0.3,0.31
2024-06-20,08:00,Field A,26,61,Loam,0.2,0.39
2024-06-20,12:00,Field B,29,56,Clay,0.1,0.35
2024-06-20,16:00,Field C,31,59,Sand,0.0,0.28
2024-06-21,08:00,Field A,28,60,Loam,0.0,0.41
2024-06-21,12:00,Field B,31,55,Clay,0.3,0.37
2024-06-21,16:00,Field C,33,58,Sand,0.1,0.29
2024-06-22,08:00,Field A,27,63,Loam,0.1,0.43
2024-06-22,12:00,Field B,30,58,Clay,0.0,0.39
2024-06-22,16:00,Field C,32,60,Sand,0.3,0.31
2024-06-23,08:00,Field A,25,62,Loam,0.2,0.40
2024-06-23,12:00,Field B,28,57,Clay,0.1,0.36
2024-06-23,16:00,Field C,30,60,Sand,0.0,0.29
2024-06-24,08:00,Field A,26,61,Loam,0.3,0.38
2024-06-24,12:00,Field B,29,56,Clay,0.0,0.34
2024-06-24,16:00,Field C,31,59,Sand,0.2,0.27
2024-06-25,08:00,Field A,24,63,Loam,0.1,0.41
2024-06-25,12:00,Field B,27,58,Clay,0.4,0.37
2024-06-25,16:00,Field C,29,61,Sand,0.0,0.30
2024-06-26,08:00,Field A,26,60,Loam,0.2,0.43
2024-06-26,12:00,Field B,29,55,Clay,0.1,0.39
2024-06-26,16:00,Field C,31,58,Sand,0.3,0.32
2024-06-27,08:00,Field A,28,61,Loam,0.0,0.39
2024-06-27,12:00,Field B,31,57,Clay,0.2,0.35
2024-06-27,16:00,Field C,33,60,Sand,0.1,0.28
2024-06-28,08:00,Field A,27,62,Loam,0.3,0.37
2024-06-28,12:00,Field B,30,56,Clay,0.0,0.33
2024-06-28,16:00,Field C,32,59,Sand,0.1,0.26
2024-06-29,08:00,Field A,25,64,Loam,0.0,0.40
2024-06-29,12:00,Field B,28,59,Clay,0.2,0.36
2024-06-29,16:00,Field C,30,62,Sand,0.1,0.30
2024-06-30,08:00,Field A,26,61,Loam,0.1,0.42
2024-06-30,12:00,Field B,29,58,Clay,0.0,0.38
2024-06-30,16:00,Field C,31,60,Sand,0.3,0.31
2024-07-01,08:00,Field A,27,60,Loam,0.2,0.39
2024-07-01,12:00,Field B,30,55,Clay,0.1,0.35
